probability_effect,probability_exceedance,type,time
0.0001,99.999,Risk curve,0 days
0.001,99.999,Risk curve,0 days
0.01,99.99,Risk curve,0 days
0.1,98.7,Risk curve,0 days
0.2,96.3,Risk curve,0 days
0.3,93.6,Risk curve,0 days
0.4,90.1,Risk curve,0 days
0.5,86.2,Risk curve,0 days
0.6,82.6,Risk curve,0 days
0.7,79.2,Risk curve,0 days
0.8,75.6,Risk curve,0 days
0.9,72.3,Risk curve,0 days
1,68.9,Risk curve,0 days
1.1,65.7,Risk curve,0 days
1.2,62.9,Risk curve,0 days
1.3,59.9,Risk curve,0 days
1.4,57.3,Risk curve,0 days
1.5,55,Risk curve,0 days
1.6,52.5,Risk curve,0 days
1.7,50.6,Risk curve,0 days
1.8,48.4,Risk curve,0 days
1.9,46.5,Risk curve,0 days
2,44.6,Risk curve,0 days
2.1,42.7,Risk curve,0 days
2.2,41.1,Risk curve,0 days
2.3,39.2,Risk curve,0 days
2.4,37.7,Risk curve,0 days
2.5,36.2,Risk curve,0 days
2.6,34.8,Risk curve,0 days
2.7,33.4,Risk curve,0 days
2.8,31.8,Risk curve,0 days
2.9,30.4,Risk curve,0 days
3,29.3,Risk curve,0 days
3.1,28.2,Risk curve,0 days
3.2,27.2,Risk curve,0 days
3.3,26.1,Risk curve,0 days
3.4,25.1,Risk curve,0 days
3.5,24.1,Risk curve,0 days
3.6,23.2,Risk curve,0 days
3.7,22.2,Risk curve,0 days
3.8,21.4,Risk curve,0 days
3.9,20.5,Risk curve,0 days
4,19.6,Risk curve,0 days
4.1,18.9,Risk curve,0 days
4.2,18.2,Risk curve,0 days
4.3,17.4,Risk curve,0 days
4.4,16.7,Risk curve,0 days
4.5,16.1,Risk curve,0 days
4.6,15.7,Risk curve,0 days
4.7,15,Risk curve,0 days
4.8,14.4,Risk curve,0 days
4.9,14,Risk curve,0 days
5,13.5,Risk curve,0 days
5.1,13,Risk curve,0 days
5.2,12.5,Risk curve,0 days
5.3,12.2,Risk curve,0 days
5.4,11.9,Risk curve,0 days
5.5,11.4,Risk curve,0 days
5.6,10.9,Risk curve,0 days
5.7,10.5,Risk curve,0 days
5.8,10,Risk curve,0 days
5.9,9.7,Risk curve,0 days
6,9.4,Risk curve,0 days
6.1,9.1,Risk curve,0 days
6.2,8.7,Risk curve,0 days
6.3,8.4,Risk curve,0 days
6.4,8.1,Risk curve,0 days
6.5,7.8,Risk curve,0 days
6.6,7.6,Risk curve,0 days
6.7,7.4,Risk curve,0 days
6.8,7.2,Risk curve,0 days
6.9,6.9,Risk curve,0 days
7,6.7,Risk curve,0 days
7.1,6.4,Risk curve,0 days
7.2,6.2,Risk curve,0 days
7.3,5.9,Risk curve,0 days
7.4,5.8,Risk curve,0 days
7.5,5.6,Risk curve,0 days
7.6,5.5,Risk curve,0 days
7.7,5.4,Risk curve,0 days
7.8,5.2,Risk curve,0 days
7.9,5.1,Risk curve,0 days
8,4.9,Risk curve,0 days
8.1,4.7,Risk curve,0 days
8.2,4.6,Risk curve,0 days
8.3,4.5,Risk curve,0 days
8.4,4.4,Risk curve,0 days
8.5,4.2,Risk curve,0 days
8.6,4.1,Risk curve,0 days
